,0
1259,지적되
1260,여파
1261,사태
1262,압박
1263,중독
1264,터뜨리
1265,미련
1266,후유증
1267,장염
1268,되풀이되
